File_path,store_procedure_name,Match
StagingToEDW_DimMartCostCenter,spBING_EDW_Generate_DimCostCenter,True
StagingToEDW_DimMartCostCenter,spBeginAuditLog,True
StagingToEDW_DimMartCostCenter,spEndAuditLog,True
StagingToEDW_DimMartPartner,spDimPartnerLoad,True
StagingToEDW_DimMartProgram,spBeginAuditLog,True
StagingToEDW_DimMartProgram,spEndAuditLog,True
StagingToEDW_DimMartSession,spBeginAuditLog,True
StagingToEDW_DimMartSession,spEndAuditLog,True
StagingToEDW_DimMartSponsor,spDimSponsorLoad,True
StagingToEDW_DimMartStudent,spDimStudentLoad,True
StagingToEDW_DimMartTier,spBeginAuditLog,True
StagingToEDW_DimMartTier,spEndAuditLog,True
StagingToEDW_DimMartTuitionAssistanceProvider,spBeginAuditLog,True
StagingToEDW_DimMartTuitionAssistanceProvider,spEndAuditLog,True
StagingToEDW_DimMeasure,spBeginAuditLog,True
StagingToEDW_DimMeasure,spEndAuditLog,True
StagingToEDW_DimOrganization,spHR_StagingToEDW_DimOrganization,True
StagingToEDW_DimPayBasis,spHR_StagingToEDW_DimPayBasis,True
StagingToEDW_DimPayGrade,spHR_StagingToEDW_DimPayGrade,True
StagingToEDW_DimPaymentType,spCMS_StagingToEDW_DimPaymentType,True
StagingToEDW_DimPayRateChangeReason,spHR_StagingToEDW_DimPayRateChangeReason,True
StagingToEDW_DimPayrollType,spMISC_StagingToEDW_DimPayrollType,True
StagingToEDW_DimPeopleGroup,spHR_StagingToEDW_DimPeopleGroup,True
StagingToEDW_DimPerformanceRating,spHR_StagingToEDW_DimPerformanceRating,True
StagingToEDW_DimPerson,spHR_StagingToEDW_DimPerson,True
StagingToEDW_DimPosition,spHR_StagingToEDW_DimPosition,True
StagingToEDW_DimProgram,spCMS_StagingToEDW_DimProgram,True
StagingToEDW_DimQualificationType,spHR_StagingToEDW_DimQualificationType,True
StagingToEDW_DimReportProfile,spMISC_StagingToEDW_DimReportProfile,True
StagingToEDW_DimRetentionBaseWeek,spEndAuditLog,True
StagingToEDW_DimRetentionBaseWeek,spBeginAuditLog,True
StagingToEDW_DimScheduleType,spCMS_StagingToEDW_DimScheduleType,True
StagingToEDW_DimScheduleWeek,spEndAuditLog,True
StagingToEDW_DimScheduleWeek,spBeginAuditLog,True
StagingToEDW_DimSession,spCMS_StagingToEDW_DimSession,True
StagingToEDW_DimSpecialInfo,spHR_StagingToEDW_DimSpecialInfo,True
StagingToEDW_DimSponsor,spCMS_StagingToEDW_DimSponsor,True
StagingToEDW_DimStudent,spCMS_StagingToEDW_DimStudent,True
StagingToEDW_DimTier,spCMS_StagingToEDW_DimTier,True
StagingToEDW_DimTimeCalculation,spEndAuditLog,True
StagingToEDW_DimTimeCalculation,spBeginAuditLog,True
StagingToEDW_DimTuitionAssistanceProvider,spCMS_StagingToEDW_DimTuitionAssistanceProvider,True
StagingToEDW_DimWebCampaign,spSalesForce_StagingToEDW_DimWebCampaign,True
StagingToEDW_FactAdjustment,spCMS_StagingToEDW_FactAdjustment,True
StagingToEDW_FactARBalanceSnapshot,spBackupTranLog,True
StagingToEDW_FactARBalanceSnapshot,spCMS_BatchLoad_StagingToEDW_FactARBalanceSnapshot,True
StagingToEDW_FactARBalanceSnapshot,spCSS_BatchLoad_StagingToEDW_FactARBalanceSnapshot,True
StagingToEDW_FactBilling,spCMS_BatchLoad_StagingToEDW_FactBilling,True
StagingToEDW_FactCenterStatSnapshot,spGL_BatchLoad_StagingToEDW_FactCenterStatSnapshot,True
StagingToEDW_FactEmployeeAssessment,spHR_StagingToEDW_FactEmployeeAssessment,True
StagingToEDW_FactEmployeeAssignment,spHR_StagingToEDW_FactEmployeeAssignment,True
StagingToEDW_FactEmployeeCompliance,spHR_StagingToEDW_FactEmployeeCompliance,True
StagingToEDW_FactEmployeeLeave,spHR_StagingToEDW_FactEmployeeLeave,True
StagingToEDW_FactEmployeePayRate,spHR_StagingToEDW_FactEmployeePayRate,True
StagingToEDW_FactEmployeePerformance,spHR_StagingToEDW_FactEmployeePerformance,True
StagingToEDW_FactEmployeeQualification,spHR_StagingToEDW_FactEmployeeQualification,True
StagingToEDW_FactFTESnapshot,spCMS_BatchLoad_StagingToEDW_FactFTESnapshot,True
StagingToEDW_FactFTESnapshotAcquired,spMISC_StagingToEDW_FactFTESnapshot,True
StagingToEDW_FactFTESnapshotCSS,spCSS_BatchLoad_StagingToEDW_FactFTESnapshot,True
StagingToEDW_FactFTESnapshotPRO,spCambridge_BatchLoad_StagingToEDW_FactFTESnapshot,True
StagingToEDW_FactGLBalance,spGL_BatchLoad_StagingToEDW_FactGLBalance,True
StagingToEDW_FactGLBalancePlanAllocation,spMISC_BatchLoad_StagingToEDW_FactGLBalancePlanAllocation,True
StagingToEDW_FactLaborHourAcquired,spMISC_StagingToEDW_FactLaborHourACQ,True
StagingToEDW_FactLaborHourActual,spMISC_BatchLoad_StagingToEDW_FactLaborHourActual,True
StagingToEDW_FactLaborHourTarget,spMISC_BatchLoad_StagingToEDW_FactLaborHourTarget,True
StagingToEDW_FactLaborHourTargetLegacy,spMISC_BatchLoad_StagingToEDW_FactLaborHourTargetLegacy,True
StagingToEDW_FactLaborHourTargetPRO,spCambridge_BatchLoad_StagingToEDW_FactLaborHourTarget,True
StagingToEDW_FactLaborSalary,spMISC_BatchLoad_StagingToEDW_FactLaborSalary,True
StagingToEDW_FactLeadEvent,spSalesForce_StagingToEDW_FactLeadEvent,True
StagingToEDW_FactLeadPipeline,spSalesForce_StagingToEDW_FactLeadPipeline,True
StagingToEDW_FactLifecycleStatusSnapshot,spCMS_BatchLoad_StagingToEDW_FactLifecycleStatusSnapshot,True
StagingToEDW_FactNetRevenue,spCMS_BatchLoad_StagingToEDW_FactNetRevenue,True
StagingToEDW_FactNetRevenueAcquired,spMISC_StagingToEDW_FactNetRevenueACQ,True
StagingToEDW_FactNetRevenueHOR,spHOR_BatchLoad_StagingToEDW_FactNetRevenue,True
StagingToEDW_FactNetRevenuePRO,spPRO_BatchLoad_StagingToEDW_FactNetRevenue,True
StagingToEDW_FactPartnerVerifiedSponsor,spEndAuditLog,True
StagingToEDW_FactPartnerVerifiedSponsor,spBeginAuditLog,True
StagingToEDW_FactPayment,spCMS_BatchLoad_StagingToEDW_FactPayment,True
StagingToEDW_FactPaymentApplied,spCMS_StagingToEDW_FactPaymentApplied,True
StagingToEDW_FactPersonSpecialInfo,spHR_StagingToEDW_FactPersonSpecialInfo,True
StagingToEDW_FactSessionEnrollment,spCMS_StagingToEDW_FactSessionEnrollment,True
StagingToEDW_FactTierAssignment,spCMS_StagingToEDW_FactTierAssignment,True
StagingToEDW_MartToEDW_CostCenter_OneTimeLoadforCompNonComp,spBeginAuditLog,True
StagingToEDW_MartToEDW_CostCenter_OneTimeLoadforCompNonComp,spEndAuditLog,True
StagingToEDW_MartToEDW_DimMartCostCenter_IXV,spGL_StagingToEDW_DimAccountSubAccount,True
StagingToEDW_MartToEDW_DimMartCostCenter_IXV,spGL_StagingToEDW_DimCostCenter,True
StagingToEDW_OneTimeDimMartAccountSubAccount,spGL_Staging_AccountSubAccountLanding,True
StagingToEDW_ReportMeasure,spEndAuditLog,True
StagingToEDW_ReportMeasure,spBeginAuditLog,True
StagingToEDW_ReportProfile,spEndAuditLog,True
StagingToEDW_ReportProfile,spBeginAuditLog,True
StagingToEDW_StagingToEDWParentPackage,spGL_StagingToEDW_DimDate,True
StagingToEDW_StagingToEDWParentPackage,spBING_EDW_Build_DimensionStaticData,True
StagingToEDW_StagingToEDW_DimensionParent,spGL_StagingToEDW_DimDate,True
StagingToEDW_StagingToEDW_DimensionParent,spBING_EDW_Build_DimensionStaticData,True
StagingToEDW_StagingToEDW_Dimension_CenterManagement,spCMS_StagingToEDW_DimAdjustmentReason,True
StagingToEDW_StagingToEDW_Dimension_CenterManagement,spCMS_StagingToEDW_DimScheduleType,True
StagingToEDW_StagingToEDW_Dimension_CenterManagement,spCSS_StagingToEDW_DimTransactionCode,True
StagingToEDW_StagingToEDW_Dimension_CenterManagement,spCMS_StagingToEDW_DimARAgencyType,True
StagingToEDW_StagingToEDW_Dimension_CenterManagement,spCSS_StagingToEDW_DimARAgencyType,True
StagingToEDW_StagingToEDW_Dimension_CenterManagement,spCMS_StagingToEDW_DimClassroom,True
StagingToEDW_StagingToEDW_Dimension_CenterManagement,spCSS_StagingToEDW_DimClassroom,True
StagingToEDW_StagingToEDW_Dimension_CenterManagement,spCMS_StagingToEDW_DimCreditMemoType,True
StagingToEDW_StagingToEDW_Dimension_CenterManagement,spCMS_StagingToEDW_DimDiscountType,True
StagingToEDW_StagingToEDW_Dimension_CenterManagement,spCSS_StagingToEDW_DimDiscountType,True
StagingToEDW_StagingToEDW_Dimension_CenterManagement,spCMS_StagingToEDW_DimFeeType,True
StagingToEDW_StagingToEDW_Dimension_CenterManagement,spCSS_StagingToEDW_DimFeeType,True
StagingToEDW_StagingToEDW_Dimension_CenterManagement,spCMS_StagingToEDW_DimInvoiceType,True
StagingToEDW_StagingToEDW_Dimension_CenterManagement,spCMS_StagingToEDW_DimPaymentType,True
StagingToEDW_StagingToEDW_Dimension_CenterManagement,spCSS_StagingToEDW_DimPaymentType,True
StagingToEDW_StagingToEDW_Dimension_CenterManagement,spCMS_StagingToEDW_DimProgram,True
StagingToEDW_StagingToEDW_Dimension_CenterManagement,spCSS_StagingToEDW_DimProgram,True
StagingToEDW_StagingToEDW_Dimension_CenterManagement,spCMS_StagingToEDW_DimSession,True
StagingToEDW_StagingToEDW_Dimension_CenterManagement,spCSS_StagingToEDW_DimSession,True
StagingToEDW_StagingToEDW_Dimension_CenterManagement,spCMS_StagingToEDW_DimSponsor,True
StagingToEDW_StagingToEDW_Dimension_CenterManagement,spCSS_StagingToEDW_DimSponsor,True
StagingToEDW_StagingToEDW_Dimension_CenterManagement,spCMS_StagingToEDW_DimStudent,True
StagingToEDW_StagingToEDW_Dimension_CenterManagement,spCSS_StagingToEDW_DimStudent,True
StagingToEDW_StagingToEDW_Dimension_CenterManagement,spCSS_StagingToEDW_DimTier,True
StagingToEDW_StagingToEDW_Dimension_CenterManagement,spCMS_StagingToEDW_DimTuitionAssistanceProvider,True
StagingToEDW_StagingToEDW_Dimension_CenterManagement,spCSS_StagingToEDW_DimTuitionAssistanceProvider,True
StagingToEDW_StagingToEDW_Dimension_GLandHR,spGL_StagingToEDW_DimDate,True
StagingToEDW_StagingToEDW_Dimension_GLandHR,spGL_StagingGenerate_HrAllOrganizationUnits,True
StagingToEDW_StagingToEDW_Dimension_GLandHR,spGL_StagingToEDW_BridgeCompanyRollup,True
StagingToEDW_StagingToEDW_Dimension_GLandHR,spGL_StagingToEDW_DimAccountSubAccount,True
StagingToEDW_StagingToEDW_Dimension_GLandHR,spGL_StagingToEDW_DimCompany,True
StagingToEDW_StagingToEDW_Dimension_GLandHR,spGL_StagingToEDW_DimCompanyRollup,True
StagingToEDW_StagingToEDW_Dimension_GLandHR,spGL_StagingToEDW_DimCostCenterType,True
StagingToEDW_StagingToEDW_Dimension_GLandHR,spHR_StagingGenerate_OrgLeaderAccess,True
StagingToEDW_StagingToEDW_Dimension_GLandHR,spHR_StagingToEDW_BridgeSecurityPersonHRISGroup,True
StagingToEDW_StagingToEDW_Dimension_GLandHR,spHR_StagingToEDW_BridgeSecurityPersonOrg,True
StagingToEDW_StagingToEDW_Dimension_GLandHR,spHR_StagingToEDW_DimAssessmentType,True
StagingToEDW_StagingToEDW_Dimension_GLandHR,spHR_StagingToEDW_DimAssignmentType,True
StagingToEDW_StagingToEDW_Dimension_GLandHR,spHR_StagingToEDW_DimComplianceItem,True
StagingToEDW_StagingToEDW_Dimension_GLandHR,spHR_StagingToEDW_DimComplianceRating,True
StagingToEDW_StagingToEDW_Dimension_GLandHR,spHR_StagingToEDW_DimHRUser,True
StagingToEDW_StagingToEDW_Dimension_GLandHR,spHR_StagingToEDW_DimLeaveReason,True
StagingToEDW_StagingToEDW_Dimension_GLandHR,spHR_StagingToEDW_DimLeaveType,True
StagingToEDW_StagingToEDW_Dimension_GLandHR,spHR_StagingToEDW_DimLocation,True
StagingToEDW_StagingToEDW_Dimension_GLandHR,spHR_StagingToEDW_DimOrganization,True
StagingToEDW_StagingToEDW_Dimension_GLandHR,spHR_StagingToEDW_DimPayBasis,True
StagingToEDW_StagingToEDW_Dimension_GLandHR,spHR_StagingToEDW_DimPayGrade,True
StagingToEDW_StagingToEDW_Dimension_GLandHR,spHR_StagingToEDW_DimPeopleGroup,True
StagingToEDW_StagingToEDW_Dimension_GLandHR,spHR_StagingToEDW_DimPerformanceRating,True
StagingToEDW_StagingToEDW_Dimension_GLandHR,spHR_StagingToEDW_DimPerson,True
StagingToEDW_StagingToEDW_Dimension_GLandHR,spHR_StagingToEDW_DimPosition,True
StagingToEDW_StagingToEDW_Dimension_GLandHR,spHR_StagingToEDW_DimQualificationType,True
StagingToEDW_StagingToEDW_Dimension_GLandHR,spHR_StagingToEDW_DimSpecialInfo,True
StagingToEDW_StagingToEDW_Dimension_GLandHR,spHR_StagingToEDW_DimPayRateChangeReason,True
StagingToEDW_StagingToEDW_Dimension_GLandHR,spMISC_StagingToEDW_DimReportProfile,True
StagingToEDW_StagingToEDW_Dimension_StudentLeads,spSalesforce_StagingToEDW_DimLead,True
StagingToEDW_StagingToEDW_Dimension_StudentLeads,spSalesForce_StagingToEDW_DimLeadType,True
StagingToEDW_StagingToEDW_Dimension_StudentLeads,spSalesForce_StagingToEDW_DimWebCampaign,True
StagingToEDW_StagingToEDW_Fact_ARBalanceSnapshot,spCMS_BatchLoad_StagingToEDW_FactARBalanceSnapshot,True
StagingToEDW_StagingToEDW_Fact_ARBalanceSnapshot,spCSS_BatchLoad_StagingToEDW_FactARBalanceSnapshot,True
StagingToEDW_StagingToEDW_Fact_BillingPaymentTransactions,spCMS_StagingToEDW_FactAdjustment,True
StagingToEDW_StagingToEDW_Fact_BillingPaymentTransactions,spCMS_BatchLoad_StagingToEDW_FactBilling,True
StagingToEDW_StagingToEDW_Fact_BillingPaymentTransactions,spCMS_BatchLoad_StagingToEDW_FactPayment,True
StagingToEDW_StagingToEDW_Fact_BillingPaymentTransactions,spCMS_StagingToEDW_FactPaymentApplied,True
StagingToEDW_StagingToEDW_Fact_CenterManagementEnrollment,spCMS_StagingToEDW_FactSessionEnrollment,True
StagingToEDW_StagingToEDW_Fact_CenterManagementEnrollment,spCMS_StagingToEDW_FactTierAssignment,True
StagingToEDW_StagingToEDW_Fact_CenterManagementEnrollment,spGL_BatchLoad_StagingToEDW_FactCenterStatSnapshot,True
StagingToEDW_StagingToEDW_Fact_CenterManagementRevenue,spPRO_BatchLoad_StagingToEDW_FactNetRevenue,True
StagingToEDW_StagingToEDW_Fact_CenterManagementRevenue,spCMS_BatchLoad_StagingToEDW_FactNetRevenue,True
StagingToEDW_StagingToEDW_Fact_CenterManagementRevenue,spUpdateStatistics,True
StagingToEDW_StagingToEDW_Fact_CenterManagementRevenue,spHOR_BatchLoad_StagingToEDW_FactNetRevenue,True
StagingToEDW_StagingToEDW_Fact_FTESnapshot,spCambridge_BatchLoad_StagingToEDW_FactFTESnapshot,True
StagingToEDW_StagingToEDW_Fact_FTESnapshot,spCMS_BatchLoad_StagingToEDW_FactFTESnapshot,True
StagingToEDW_StagingToEDW_Fact_FTESnapshot,spUpdateStatistics,True
StagingToEDW_StagingToEDW_Fact_GLBalancePlanAllocation,spMISC_BatchLoad_StagingToEDW_FactGLBalancePlanAllocation,True
StagingToEDW_StagingToEDW_Fact_GLBalances,spGL_BatchLoad_StagingToEDW_FactGLBalance,True
StagingToEDW_StagingToEDW_Fact_GLBalances,spUpdateStatistics,True
StagingToEDW_StagingToEDW_Fact_HREmployee,spHR_StagingToEDW_FactEmployeeAssessment,True
StagingToEDW_StagingToEDW_Fact_HREmployee,spHR_StagingToEDW_FactEmployeeAssignment,True
StagingToEDW_StagingToEDW_Fact_HREmployee,spHR_StagingToEDW_FactEmployeeCompliance,True
StagingToEDW_StagingToEDW_Fact_HREmployee,spHR_StagingToEDW_FactEmployeeLeave,True
StagingToEDW_StagingToEDW_Fact_HREmployee,spHR_StagingToEDW_FactEmployeePayRate,True
StagingToEDW_StagingToEDW_Fact_HREmployee,spHR_StagingToEDW_FactEmployeePerformance,True
StagingToEDW_StagingToEDW_Fact_HREmployee,spHR_StagingToEDW_FactEmployeeQualification,True
StagingToEDW_StagingToEDW_Fact_HREmployee,spHR_StagingToEDW_FactPersonSpecialInfo,True
StagingToEDW_StagingToEDW_Fact_LifecycleStatusSnapshot,spCMS_BatchLoad_StagingToEDW_FactLifecycleStatusSnapshot,True
StagingToEDW_StagingToEDW_Fact_StudentLeads,spSalesForce_StagingToEDW_FactLeadEvent,True
StagingToEDW_StagingToEDW_Fact_StudentLeads,spSalesForce_StagingToEDW_FactLeadPipeline,True
StagingToEDW_StagingToEDW_Fact_StudentLeads,spSalesForce_StagingGenerate_LookupMethodOfContact,True
